district_encoded,property_type_encoded,bedrooms,bathrooms,house_size,land_size,bed_bath_ratio,total_rooms,has_house_size,has_land_size,is_apartment,log_house_size,log_land_size
9,0,3,2,3000.0,8.0,1.5,5,1,1,0,8.006700845440367,2.1972245773362196
3,0,3,1,1093.0,7.0,3.0,4,1,1,0,6.9975959829819265,2.0794415416798357
3,0,4,3,2450.0,8.5,1.3333333333333333,7,1,1,0,7.804251383528112,2.2512917986064953
5,0,5,5,5100.0,10.6,1.0,10,1,1,0,8.537191877922927,2.451005098112319
3,0,5,4,3412.0,15.0,1.25,9,1,1,0,8.135346948906706,2.772588722239781
3,0,3,2,900.0,3.0,1.5,5,1,1,0,6.803505257608338,1.3862943611198906
3,0,4,3,2826.0,19.18,1.3333333333333333,7,1,1,0,7.946971357693591,3.004692014925463
8,0,4,3,1502.0,12.0,1.3333333333333333,7,1,1,0,7.315218389752975,2.5649493574615367
3,0,3,2,1800.0,6.0,1.5,5,1,1,0,7.496097345175956,1.9459101490553132
5,0,5,4,3500.0,38.0,1.25,9,1,1,0,8.160803920954665,3.6635616461296463
3,0,3,2,1250.0,6.7,1.5,5,1,1,0,7.1316985104669115,2.0412203288596382
3,0,5,5,3500.0,10.0,1.0,10,1,1,0,8.160803920954665,2.3978952727983707
3,0,5,2,2850.0,13.8,2.5,7,1,1,0,7.955425088912672,2.6946271807700692
3,0,1,1,1000.0,7.5,1.0,2,1,1,0,6.90875477931522,2.1400661634962708
3,0,4,3,3000.0,8.0,1.3333333333333333,7,1,1,0,8.006700845440367,2.1972245773362196
3,0,4,3,4150.0,8.15,1.3333333333333333,7,1,1,0,8.33110454805304,2.21375387928743
3,0,4,4,3452.0,8.0,1.0,8,1,1,0,8.146998697389993,2.1972245773362196
3,0,4,3,2660.0,22.0,1.3333333333333333,7,1,1,0,7.886457270977689,3.1354942159291497
3,0,4,3,3000.0,11.5,1.3333333333333333,7,1,1,0,8.006700845440367,2.5257286443082556
8,0,5,2,2700.0,15.0,2.5,7,1,1,0,7.901377353792616,2.772588722239781
3,0,6,2,3000.0,21.0,3.0,8,1,1,0,8.006700845440367,3.091042453358316
3,0,5,5,2000.0,8.0,1.0,10,1,1,0,7.601402334583733,2.1972245773362196
8,0,5,2,2216.0,16.5,2.5,7,1,1,0,7.7039102096163115,2.8622008809294686
